source	target	edge	p_value	q_value	abs_rho	dir
1	9	0.638905713627241	2.74449532442489e-05	0.00506359387356392	0.638905713627241	1
2	9	0.59026779982253	0.000151062607496311	0.0129813356760192	0.59026779982253	1
3	9	0.460607630248677	0.00469936162485185	0.079625407939454	0.460607630248677	1
4	9	0.476225640102114	0.0033247300891035	0.0648473771927082	0.476225640102114	1
uncultured Faecalibacterium prausnitzii 	9	0.48388508689143	0.00278918333188205	0.059377422084489	0.48388508689143	1
5	9	0.640071775386115	2.62502204257942e-05	0.00506359387356392	0.640071775386115	1
6	9	0.642287733785637	2.41089379227066e-05	0.00500411142758179	0.642287733785637	1
7	9	0.535418810247392	0.00076559788576791	0.030268459269467	0.535418810247392	1
8	9	0.629721234646353	3.87225714049144e-05	0.00676829787556425	0.629721234646353	1
Ruminococcaceae species incertae sedis	9	0.499508350193314	0.0019247970940548	0.0502885070645965	0.499508350193314	1
9	1	0.638905713627241	2.74449532442489e-05	0.00506359387356392	0.638905713627241	1
2	1	0.540286589050011	0.00067028394438795	0.027146499747712	0.540286589050011	1
3	1	0.567408951585866	0.000307562667913652	0.0186332568629046	0.567408951585866	1
6	1	0.800107008988792	4.75271066946448e-09	1.57837521332915e-05	0.800107008988792	1
7	1	0.701413023908576	1.88492454400446e-06	0.000695537156737647	0.701413023908576	1
8	1	0.764831750075458	5.60584441089418e-08	5.15532435101385e-05	0.764831750075458	1
10	1	0.520071571782106	0.00114943822761937	0.0374642191600736	0.520071571782106	1
11	17	0.496722994448076	0.00205901306212875	0.0502885070645965	0.496722994448076	1
12	17	0.446873122724966	0.00628939547589091	0.0962538358314918	0.446873122724966	1
13	17	0.503412528821219	0.00174959484442194	0.0480198717216965	0.503412528821219	1
14	17	0.505203410479792	0.00167402376860393	0.0470843160525794	0.505203410479792	1
Fusicatenibacter saccharivorans  	17	0.53040649819726	0.000876106039544577	0.0328125104316455	0.53040649819726	1
15	17	0.514264063549931	0.0013339478753811	0.0410069519193343	0.514264063549931	1
16	17	0.499323867168719	0.00193344334747536	0.0502885070645965	0.499323867168719	1
Ruminococcaceae species incertae sedis	17	0.490116394664369	0.00241060304715823	0.0544599504735544	0.490116394664369	1
uncultured Clostridium sp 	17	0.499122328500048	0.00194292784146155	0.0502885070645965	0.499122328500048	1
17	11	0.496722994448076	0.00205901306212875	0.0502885070645965	0.496722994448076	1
18	11	0.450743377357995	0.00580038810747263	0.0917289947853172	0.450743377357995	1
12	11	0.56729761440595	0.000308590523173669	0.0186332568629046	0.56729761440595	1
19	11	0.597308585889695	0.000120037174491383	0.0120801047419965	0.597308585889695	1
13	11	0.573750613672671	0.000253830433392332	0.0165288405744301	0.573750613672671	1
5	11	0.44402851560699	0.00667102388560092	0.0993474005564156	0.44402851560699	1
Fusicatenibacter saccharivorans  	11	0.490201374088578	0.00240576712407936	0.0544599504735544	0.490201374088578	1
15	11	0.447858475051057	0.00616165168638627	0.0947353946781889	0.447858475051057	1
uncultured Clostridium sp 	11	0.463342573082239	0.00442812282562288	0.0769936958319036	0.463342573082239	1
19	56	0.478091443733757	0.0031866512640919	0.0636558993510947	0.478091443733757	1
20	56	0.536733784357437	0.000738733987799778	0.0295582599214827	0.536733784357437	1
21	56	0.541890343972557	0.000641273567304257	0.0264089499030835	0.541890343972557	1
2	26	0.558269526092343	0.000402887600624346	0.0212031016334957	0.558269526092343	1
22	26	0.478502372620597	0.00315691984920985	0.0636558993510947	0.478502372620597	1
3	26	0.576411794896895	0.000233905905383303	0.0161833648287072	0.576411794896895	1
4	26	0.624771527628275	4.64050374253677e-05	0.00724210800448366	0.624771527628275	1
5	26	0.472078576433095	0.00365039069129169	0.0681064465493243	0.472078576433095	1
Fusicatenibacter saccharivorans  	26	0.496411242028015	0.00207453341398667	0.0502885070645965	0.496411242028015	1
23	26	0.510571936141507	0.00146437832098822	0.0430371717168309	0.510571936141507	1
10	26	0.554686824636702	0.000446918733617796	0.0212031016334957	0.554686824636702	1
Ruminococcaceae species incertae sedis	26	0.57754932506688	0.000225825151025649	0.0161833648287072	0.57754932506688	1
uncultured Clostridium sp 	26	0.454739375219827	0.00533018561696141	0.0876314179897468	0.454739375219827	1
12	38	0.451826867734924	0.00566949732860511	0.0905211568668152	0.451826867734924	1
8	38	0.509059732025791	0.00152095613724068	0.0439225681024026	0.509059732025791	1
24	38	0.495372670879649	0.00212697934883033	0.0508179742263706	0.495372670879649	1
25	38	0.520352171062871	0.00114112381244169	0.0374642191600736	0.520352171062871	1
9	2	0.59026779982253	0.000151062607496311	0.0129813356760192	0.59026779982253	1
1	2	0.540286589050011	0.00067028394438795	0.027146499747712	0.540286589050011	1
26	2	0.558269526092343	0.000402887600624346	0.0212031016334957	0.558269526092343	1
