KO	ERR1995215	ERR1995218	ERR1995220	ERR1995223	ERR1995229	ERR1995232	ERR1995234	ERR1995237	ERR1995239	ERR1995242	ERR1995244	ERR1995247	ERR1995249	ERR1995252	ERR1995254	ERR1995257	ERR1995263	ERR1995266	ERR2749744	ERR2749749	ERR2749783	ERR2749787	ERR2749816	ERR2749822	ERR2749856	ERR2749861	ERR2750073	ERR2750079	ERR2750330	ERR2750335	ERR2750396	ERR2750402	ERR2750434	ERR2750439	ERR2750536	ERR2750541
K09775	3.822	0	2.164	1.946	3.552	0	3.901	2.565	3.585	2.616	3.441	2.553	2.752	0	3.154	1.609	3.607	2.686	3.564	0.693	2.079	1.099	2.686	0	2.393	0	2.303	0	3.375	0.693	2.926	2.756	2.352	2.554	3.461	2.67
K21471	6.886	0.448	5.796	3.255	6.607	3.211	6.612	1.774	6.451	4.714	6.209	4.966	5.939	2.043	6.5	3.913	6.44	1.839	6.652	6.047	5.32	5.762	6.027	4.552	6.146	4.355	5.947	3.318	6.57	5.436	6.185	5.75	5.835	5.924	6.625	6.204
K21571	4.239	1.386	4.585	0.796	4.732	0	4.221	2.168	4.812	3.276	4.507	4.275	4.833	1.099	4.179	0.693	4.775	2.038	3.725	2.69	5.424	4.251	5.539	2.079	4.892	0.377	5.282	0	4.654	4.775	5.44	4.466	5.491	4.835	4.2	4.353
K07978	4.655	2.241	4.802	0.796	5.266	0.876	5.308	4.177	5.129	4.376	5.072	0	4.954	0	5.177	1.561	4.55	3.694	5.526	5.408	4.91	5.348	5.514	5.222	5.427	0	5.177	2.252	4.768	4.707	4.972	5.317	5.354	5.076	5.508	5.297
K07979	5.659	2.55	5.989	1.54	5.864	1.23	5.976	4.791	5.985	5.019	6.423	2.025	6.217	0.245	5.758	2.908	5.758	4.196	6.16	5.798	6.472	5.651	6.751	5.425	6.656	2.427	6.622	2.321	6.096	5.125	6.629	6.172	6.589	6.255	6.059	5.736
K01745	4.122	1.154	3.501	1.181	4.226	0.5	4.394	2.119	3.937	2.272	4.246	3.595	2.872	1.762	4.385	1.906	4.351	2.639	4.077	3.834	3.194	3.966	2.138	1.589	3.453	1.231	1.642	0	3.319	3.404	3.399	3.255	3.06	3.066	4.055	3.522
K01297	3.692	1.609	3.644	3.34	4.005	2.352	4.277	2.615	3.895	2.087	4.047	3.915	3.405	0.562	4.255	2.043	4.527	1.946	3.468	3.706	3.826	3.818	3.533	2.487	3.542	3.184	3.5	1.718	3.669	2.973	3.749	3.324	3.862	3.59	4.29	3.954
K01485	4.671	2.58	4.058	3.009	4.416	3.209	4.832	2.882	4.531	3.591	4.162	3.33	3.934	1.044	4.725	2.621	4.808	3.507	4.793	3.781	4.29	3.766	4.234	2.956	3.917	3.121	4.235	2.562	4.801	3.602	4.811	4.306	4.289	4.147	4.71	4.284
K01487	4.839	0.71	5.372	2.597	4.322	0.825	4.416	2.339	4.951	0.958	5.432	3.56	5.396	1.294	4.458	0.76	4.918	2.485	4.283	4.349	5.601	4.256	5.583	0.689	5.408	3.003	5.559	1.244	4.95	4.361	5.342	4.423	5.386	5.48	4.575	3.944
K01563	4.06	1.034	3.86	2.273	4.095	1.302	4.337	1.745	4.06	1.734	3.98	3.028	3.852	1.446	4.248	0.651	4.467	1.45	4.268	4.193	4.101	4.043	4.143	3.583	4.236	2.248	4.032	2.324	4.248	3.798	4.496	4.193	4.183	4.137	4.414	4.106
