Study	ID	Dist_V1V2	Timepoint	Run	MF0001	MF0002	MF0003	MF0004	MF0005	MF0006	MF0007	MF0008	MF0009	MF0010	MF0011	MF0012	MF0013	MF0014	MF0015	MF0016	MF0017	MF0018	MF0019	MF0020	MF0021	MF0022	MF0023	MF0024	MF0025	MF0026	MF0027	MF0028	MF0029	MF0030	MF0031	MF0032	MF0033	MF0034	MF0035	MF0036	MF0037	MF0039	MF0040	MF0041	MF0042	MF0043	MF0044	MF0045	MF0046	MF0047	MF0048	MF0049	MF0050	MF0051	MF0052	MF0053	MF0054	MF0055	MF0056	MF0057	MF0058	MF0059	MF0060	MF0061	MF0062	MF0063	MF0064	MF0065	MF0066	MF0067	MF0068	MF0069	MF0070	MF0071	MF0072	MF0073	MF0074	MF0076	MF0077	MF0078	MF0079	MF0080	MF0081	MF0082	MF0083	MF0084	MF0085	MF0086	MF0087	MF0088	MF0089	MF0090	MF0091	MF0092	MF0093	MF0094	MF0095	MF0096	MF0097	MF0098	MF0099	MF0100	MF0101	MF0102	MF0103	MF0104	MF0105	MF0106	MF0107	MF0108	MF0109	MF0110	MF0111	MF0112	MF0113	MF0114	MF0115	MF0116	MF0117	MF0118	MF0119	MF0120	MF0121	MF0122	MF0123	MF0124	MF0125	MF0126	MF0127	MF0128	MF0129	MF0130	MF0131	MF0132	MF0133
Suez	603	0.0612198365950979	Baseline	ERR2749744	121	83	103	3	26	20	86	86	15	0	104	69	51	25	2	51	124	17	5	32	28	34	307	15	60	62	115	102	66	333	150	40	79	406	95	25	1	91	106	15	19	109	221	12	290	15	676	128	320	162	29	78	137	184	239	140	130	175	247	154	304	352	88	97	453	3	14	16	9	224	59	239	233	159	85	164	160	200	169	85	53	23	505	75	77	77	42	151	199	37	70	44	0	1	0	15	0	68	80	181	127	9	2	9	27	157	189	122	28	83	106	16	11	82	119	8	75	8	42	41	37	156	64	48	81	0	20	19	12	77	25
Suez	604	0.16764332254231	Baseline	ERR2749783	73	44	88	4	22	19	112	112	5	0	135	109	50	11	2	37	131	8	4	32	31	35	282	9	54	25	62	83	59	274	155	16	104	460	96	26	3	77	69	10	14	96	176	18	300	14	596	140	376	144	13	68	101	146	245	110	65	161	179	166	284	376	104	99	440	2	7	10	12	208	39	176	266	143	76	144	126	159	132	90	25	24	352	91	90	84	44	119	189	102	48	30	1	0	0	8	0	50	70	173	122	9	4	30	12	148	126	119	8	114	146	9	10	64	94	9	51	4	78	22	22	161	113	29	100	6	29	24	9	86	56
Suez	605	0.213151654005386	Baseline	ERR2749816	79	45	99	2	30	18	107	108	3	0	127	104	50	2	0	29	143	5	6	32	30	34	305	5	62	32	66	94	63	290	174	8	98	494	122	15	3	77	52	9	7	104	188	12	378	18	598	124	336	169	31	86	138	142	251	128	92	168	165	153	310	554	102	96	428	2	8	18	9	229	41	233	252	134	89	136	134	182	138	93	24	31	391	86	85	85	45	128	201	99	54	27	0	0	0	10	0	45	62	161	123	4	2	24	10	161	161	118	14	108	148	9	9	63	96	8	51	4	73	22	17	160	88	26	92	7	6	19	3	100	60
Suez	606	0.359142806955911	Baseline	ERR2749856	75	47	96	3	25	14	106	106	12	0	115	71	49	14	0	45	128	8	2	27	27	31	242	16	48	37	74	114	59	239	142	26	90	412	105	6	1	66	104	12	8	107	208	13	354	11	765	136	392	160	21	72	96	154	258	119	98	176	128	188	300	469	121	96	433	4	14	17	15	256	43	225	290	147	80	146	125	174	138	88	34	13	346	77	79	78	39	119	238	64	54	34	1	0	0	17	1	58	67	179	118	4	1	23	16	142	143	120	16	120	142	11	3	57	97	8	51	2	50	30	22	150	83	22	83	1	16	29	7	58	60
Suez	704	0.331984370639129	Baseline	ERR2750073	77	46	101	3	23	15	103	104	7	0	124	85	49	13	0	25	142	4	4	31	30	34	269	14	66	28	61	91	72	275	167	20	96	502	118	32	2	75	102	8	9	126	201	21	398	17	709	128	362	164	22	67	107	148	268	122	92	151	186	178	307	503	106	119	441	2	10	19	13	237	39	225	323	143	80	144	129	169	144	104	17	8	376	84	86	86	52	120	227	82	56	28	3	0	0	9	0	54	84	153	143	4	3	27	13	144	150	117	11	109	152	12	6	60	97	8	46	8	82	18	22	154	101	30	91	2	24	25	7	85	55
Suez	801	0.273181272509004	Baseline	ERR2750330	103	74	66	2	18	14	93	93	7	0	120	59	42	3	2	43	149	4	6	22	22	25	247	21	44	58	117	95	68	275	131	13	95	402	106	24	5	40	95	9	9	114	221	26	242	19	451	91	238	163	15	92	70	120	221	138	152	160	203	125	310	301	40	60	413	5	10	12	4	148	56	182	114	109	93	111	168	194	182	54	52	38	406	65	63	70	18	158	143	54	58	42	0	0	7	14	5	45	52	154	106	4	2	9	17	170	174	101	21	50	122	15	14	35	77	10	76	5	25	24	24	158	63	26	71	6	4	12	8	110	31
Suez	803	0.068740157480315	Baseline	ERR2750396	93	54	89	2	22	9	103	104	8	0	134	111	55	4	1	42	133	4	6	30	30	33	320	21	54	51	94	93	64	322	161	17	102	447	97	24	5	55	71	18	14	109	213	29	304	14	591	140	350	160	10	76	113	148	266	127	81	164	175	179	293	425	120	98	431	2	11	17	8	201	40	225	211	137	81	137	154	184	152	86	44	20	462	82	84	87	44	141	177	69	60	31	2	0	2	9	5	49	62	182	130	9	2	22	11	164	188	130	48	92	150	13	10	49	90	11	68	5	62	23	16	163	73	30	87	4	6	18	5	84	45
Suez	804	0.090123920390537	Baseline	ERR2750434	83	51	69	1	14	10	107	107	13	0	132	115	47	3	0	37	138	3	4	28	28	30	295	13	60	43	80	84	59	286	133	13	102	497	118	12	2	53	87	14	10	105	232	16	306	8	664	129	394	168	18	70	97	142	253	118	82	191	181	146	303	539	111	106	439	4	11	20	3	214	43	211	270	129	80	128	131	170	155	80	26	19	387	82	83	82	30	122	200	77	57	35	0	0	2	13	6	49	64	199	132	2	1	24	10	149	151	117	30	113	156	8	9	49	101	8	53	2	52	22	22	166	98	14	89	1	13	17	7	72	53
Suez	807	0.105798014810147	Baseline	ERR2750536	87	61	83	4	27	12	89	90	26	0	100	66	47	23	2	64	138	20	4	27	26	30	282	15	40	55	94	84	59	240	155	40	76	358	85	16	1	75	82	26	13	92	233	14	208	8	688	156	299	149	49	77	104	155	221	148	87	186	169	131	277	332	82	88	416	3	15	18	5	198	48	175	147	139	81	140	158	194	167	73	48	26	356	69	69	75	36	140	192	37	56	52	0	0	3	15	5	62	76	184	116	13	1	9	19	160	172	114	18	81	113	14	8	68	107	10	66	4	32	44	26	157	68	17	79	2	22	18	12	68	30
Palleja	ERAS11	0.304347826086957	Baseline	ERR1995215	93	65	99	4	29	10	88	88	46	0	122	47	65	17	6	61	162	6	3	32	32	37	288	42	24	64	118	122	71	264	159	20	94	386	91	61	1	82	51	22	5	102	161	16	160	13	587	124	279	150	13	83	97	160	205	156	123	192	204	134	260	322	65	99	399	3	18	19	5	217	51	171	152	134	91	134	169	197	173	68	82	29	384	66	67	91	56	154	198	47	69	62	0	0	3	12	2	50	55	157	134	6	0	6	12	161	191	120	72	126	124	21	8	70	118	19	72	4	21	54	19	198	52	22	79	0	12	12	10	56	27
