Sample_id	recovered_realigned_day	lowest_dist	DistxDay	Timepoint_realign	Study	Perturbance_scale	Shannon	Akkermansia	Alistipes	Anaerostipes	Atopobiaceae.gen..incertae.sedis	Bacteria.gen..incertae.sedis	Bacteroidales.gen..incertae.sedis	Bacteroides	Barnesiella	Bifidobacterium	Blautia	Butyricicoccus	Butyrivibrio	Clostridiales.Family.XIII..Incertae.Sedis.gen..incertae.sedis	Clostridiales.gen.._Clostridium_Coprococcus_	Clostridiales.gen.._Ruminococcus_Blautia_	Clostridiales.gen..incertae.sedis	Clostridium	Collinsella	Coprococcus	Dehalococcoidales.gen..incertae.sedis	Dialister	Dorea	Eggerthella	Eggerthellaceae.gen..incertae.sedis	Erysipelotrichaceae.gen..incertae.sedis	Eubacterium	Faecalibacterium	Firmicutes.gen.._Carnobacterium_Phascolarctobacterium_	Firmicutes.gen.._Lactobacillus_Lachnospira_	Firmicutes.gen..incertae.sedis	Flavonifractor	Fusicatenibacter	Fusobacterium	Holdemanella	Intestinibacter	Lachnoclostridium	Lachnospira	Lachnospiraceae.gen..incertae.sedis	Lactobacillus	Methanobrevibacter	Methanosphaera	Mitsuokella	Mycoplasma	Odoribacter	Oscillibacter	Parabacteroides	Paraprevotella	Peptostreptococcaceae.gen..incertae.sedis	Phascolarctobacterium	Prevotella	Romboutsia	Roseburia	Ruminococcaceae.gen..incertae.sedis	Ruminococcus	Streptococcus	Succinivibrio	Sutterella	Veillonella
801	55	0.277456647398844	15.2601156069364	Baseline	Suez	0.528735632183908	2.40008689987475	0	1	0	0	0	1	0	0	2	1	0	10	0	0	0	13	60	0	1	1	3	2	0	0	0	6	4	0	0	29	0	0	0	3	1	0	0	2	0	1	2	1	2	0	0	0	0	0	0	12	0	3	1	6	0	14	0	0
802	54	0.280701754385965	15.1578947368421	Baseline	Suez	0.532033426183844	2.50499679013865	0	1	3	0	0	1	1	2	4	5	1	0	0	1	0	15	25	1	2	0	0	3	0	0	0	2	6	0	0	15	0	0	2	0	0	0	1	0	1	0	0	1	0	0	2	1	0	0	4	54	0	4	2	9	1	0	0	0
803	34	0.274285714285714	9.32571428571429	Baseline	Suez	0.355555555555556	2.76834222692675	0	0	0	1	0	0	0	0	4	2	1	0	1	0	1	21	8	0	3	10	2	2	0	2	0	8	4	0	1	18	0	0	0	4	1	0	0	4	3	0	1	2	0	0	3	0	0	0	0	45	0	6	2	8	1	5	1	0
804	40	0.23943661971831	9.57746478873239	Baseline	Suez	0.329577464788732	2.7191095380823	0	0	2	1	0	2	0	0	7	3	2	3	0	0	0	17	7	1	3	6	4	4	0	1	1	8	4	0	0	5	0	1	0	3	0	0	0	5	3	1	0	0	1	0	0	0	0	1	0	57	1	7	0	12	0	2	1	0
805	48	0.502958579881657	24.1420118343195	Baseline	Suez	0.794019933554817	2.90465037179492	0	0	2	1	5	2	0	0	0	7	0	25	1	0	4	12	15	1	3	4	2	5	0	1	2	1	3	0	0	14	0	1	6	7	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	26	0	1	6	6	0	3	0	0
806	42	0.339031339031339	14.2393162393162	Baseline	Suez	0.671641791044776	2.76002423438053	2	3	14	0	0	1	8	0	9	20	1	0	0	0	1	8	18	1	1	0	3	9	0	1	0	8	8	0	0	2	0	0	0	0	1	0	1	7	0	0	0	0	0	0	0	1	0	0	0	2	1	7	3	38	0	0	0	0
807	47	0.365994236311239	17.2017291066282	Baseline	Suez	0.611267605633803	2.59682619743145	1	0	5	0	0	0	9	1	1	5	1	0	0	0	0	21	46	0	1	0	2	0	0	0	0	5	12	0	0	11	0	1	0	0	0	0	0	4	1	4	0	0	4	2	0	2	0	0	0	0	1	8	7	12	0	0	0	0
ERAS10	56	0.510489510489511	28.5874125874126	Baseline	Palleja	0.48125	2.19689490470546	0	5	0	0	0	0	13	3	2	0	1	0	0	0	0	22	2	0	1	0	4	0	0	0	0	1	7	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	6	6	0	0	0	81	0	4	7	6	0	0	3	1
ERAS11	39	0.39622641509434	15.4528301886792	Baseline	Palleja	0.816155988857939	2.54698881069246	0	3	1	0	0	0	2	0	5	0	1	0	0	0	0	43	24	1	2	0	16	0	2	0	0	2	5	0	0	7	0	0	0	0	0	0	0	4	0	2	0	0	1	0	9	0	1	0	0	9	0	4	17	15	0	0	0	0
ERAS12	27	0.587458745874587	15.8613861386139	Baseline	Palleja	0.983739837398374	1.71231326951686	0	0	2	0	0	0	4	0	1	1	0	0	0	0	0	4	1	0	2	0	17	3	0	0	0	11	5	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	107	0	6	2	5	0	0	3	1
