Study	ID	Dist_V1V2	Shannon	Timepoint	Run	Acetobacter	Acidiphilium	Acinetobacter	Adlercreutzia	Akkermansia	Alistipes	Anaeromassilibacillus	Anaerostipes	Anaerotruncus	Atopobiaceae.gen..incertae.sedis	Azospirillum	Bacteria.gen.._Rhodospirillum_Lactobacillus_Azospirillum_	Bacteria.gen..incertae.sedis	Bacteroidales.gen.._Coprobacter_Gabonia_	Bacteroidales.gen..incertae.sedis	Bacteroides	Barnesiella	Bifidobacterium	Blautia	Brachyspira	Burkholderiales.gen..incertae.sedis	Butyricicoccus	Butyrivibrio	Clostridia.gen..incertae.sedis	Clostridiaceae.gen..incertae.sedis	Clostridiales.Family.XIII..Incertae.Sedis.gen..incertae.sedis	Clostridiales.gen.._Clostridium_Coprococcus_	Clostridiales.gen.._Clostridium_Eubacterium_	Clostridiales.gen.._Ruminococcus_Blautia_	Clostridiales.gen.._Ruminococcus_Clostridium_	Clostridiales.gen.._Ruminococcus_Eubacterium_	Clostridiales.gen..incertae.sedis	Clostridium	Collinsella	Coprobacillus	Coprococcus	Dehalococcoidales.gen..incertae.sedis	Desulfovibrio	Dialister	Dorea	Duodenibacillus	Eggerthella	Eggerthellaceae.gen..incertae.sedis	Erysipelotrichaceae.gen..incertae.sedis	Eubacterium	Faecalibacterium	Firmicutes.gen.._Carnobacterium_Phascolarctobacterium_	Firmicutes.gen.._Coprobacillus_Clostridium_	Firmicutes.gen.._Lactobacillus_Lachnospira_	Firmicutes.gen..incertae.sedis	Flavonifractor	Fusicatenibacter	Fusobacterium	Haemophilus	Holdemanella	Intestinibacter	Lachnoclostridium	Lachnospiraceae.gen..incertae.sedis	Lactobacillus	Megasphaera	Merdibacter	Methanobrevibacter	Methanosphaera	Mitsuokella	Mogibacterium	Mycoplasma	Odoribacter	Oscillibacter	Oxalobacter	Parabacteroides	Paraprevotella	Parasutterella	Peptostreptococcaceae.gen..incertae.sedis	Phascolarctobacterium	Prevotella	Pseudoflavonifractor	Romboutsia	Roseburia	Ruminococcaceae.gen..incertae.sedis	Ruminococcus	Ruthenibacterium	Senegalimassilia	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Veillonella
Suez	603	0.0612198365950979	2.91367893417525	Baseline	ERR2749744	0	0	0	0	5	0	0	16	0	0	0	0	2	0	1	7	0	9	5	0	0	0	0	0	0	0	0	2	0	0	1	24	22	0	0	7	0	0	5	1	0	0	0	0	10	12	0	0	0	1	0	3	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	4	0	2	0	0	0	0	0	1	0	3	8	9	0	0	2	0	0	0	0
Suez	604	0.16764332254231	2.25111763997085	Baseline	ERR2749783	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	1	0	0	5	5	0	0	0	0	0	6	3	0	0	0	0	1	4	0	0	3	12	0	1	0	0	7	0	0	2	0	1	0	0	0	5	0	0	0	1	0	1	1	0	0	0	84	0	3	5	1	2	0	0	0	0	15	1	2
Suez	605	0.213151654005386	2.51615315418654	Baseline	ERR2749816	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2	5	1	0	0	0	0	0	0	3	0	0	0	0	5	8	1	0	2	0	0	3	3	0	1	0	0	1	5	0	0	0	15	0	0	0	0	8	0	0	5	0	3	0	0	1	2	0	0	0	1	0	0	0	0	0	0	63	0	0	2	2	5	0	0	0	0	19	2	0
Suez	606	0.359142806955911	2.62677754812534	Baseline	ERR2749856	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	17	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	18	8	0	0	7	0	0	0	5	0	0	0	1	10	7	0	3	6	10	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	46	0	0	16	1	4	0	0	2	0	0	0	0
Suez	704	0.331984370639129	2.18383282507587	Baseline	ERR2750073	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	2	7	0	0	0	0	0	0	0	1	0	0	0	0	15	2	2	0	0	0	0	5	7	1	1	0	0	0	13	0	0	0	6	0	0	0	0	5	0	0	1	2	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	80	0	0	20	0	2	0	0	0	0	0	0	0
Suez	801	0.273181272509004	2.44149335939827	Baseline	ERR2750330	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	10	0	0	0	0	0	0	0	0	13	60	0	0	1	1	0	3	2	1	0	0	0	6	4	0	0	0	29	0	0	0	0	3	1	0	2	0	0	0	1	2	1	0	2	0	0	0	0	0	0	0	0	12	0	0	3	1	6	0	0	0	0	14	0	0
Suez	803	0.068740157480315	2.80678444599511	Baseline	ERR2750396	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	0	0	1	0	1	0	1	0	0	1	0	0	21	8	0	0	3	10	0	2	2	0	0	2	0	8	4	0	0	1	18	0	0	0	0	4	1	0	4	3	0	0	0	1	2	0	0	0	3	0	0	0	0	0	0	45	0	0	6	2	8	0	0	1	0	5	1	0
Suez	804	0.090123920390537	2.77774717705557	Baseline	ERR2750434	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	7	3	3	0	2	3	0	0	0	0	0	0	0	0	17	7	1	0	3	6	1	4	4	0	0	1	1	8	4	0	0	0	5	0	1	0	0	3	0	0	5	3	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	57	0	1	7	0	12	0	0	0	0	2	1	0
Suez	807	0.105798014810147	2.71956331876052	Baseline	ERR2750536	0	0	1	0	1	0	0	5	0	0	0	1	0	0	0	9	1	1	5	0	1	1	0	0	0	0	0	0	0	0	0	21	46	0	0	1	0	0	2	0	0	0	0	0	5	12	0	0	0	11	0	1	0	0	0	0	0	4	1	0	0	4	0	0	0	4	2	0	1	2	0	0	0	0	0	0	1	8	7	12	1	0	0	1	0	0	0
Palleja	ERAS11	0.304347826086957	2.5877658399278	Baseline	ERR1995215	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	2	0	5	0	0	0	1	0	1	0	0	0	0	0	0	0	43	24	1	0	2	0	0	16	0	0	2	0	0	2	5	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	1	0	9	0	0	1	0	0	0	9	0	0	4	17	15	0	0	0	0	0	0	0
