Study	ID	Dist_V1V2	Timepoint	Run	Bacteroides.coprophilus..ref_mOTU_v25_04094.	Bacteroides.dorei.vulgatus..ref_mOTU_v25_02367.	Bacteroides.faecis.thetaiotaomicron..ref_mOTU_v25_01657.	Bacteroides.massiliensis..ref_mOTU_v25_02135.	Bacteroides.rodentium.uniformis..ref_mOTU_v25_00855.	Bacteroides.sp...ref_mOTU_v25_03475.	Bacteroides.stercoris..ref_mOTU_v25_01579.	Bifidobacterium.adolescentis..ref_mOTU_v25_02703.	Faecalibacterium.prausnitzii..ref_mOTU_v25_06108.	Faecalibacterium.prausnitzii..ref_mOTU_v25_06109.	Faecalibacterium.prausnitzii..ref_mOTU_v25_06110.	Faecalibacterium.prausnitzii..ref_mOTU_v25_06112.	Faecalibacterium.sp...ref_mOTU_v25_03636.	Faecalibacterium.species.incertae.sedis..meta_mOTU_v25_12303.	Faecalibacterium.species.incertae.sedis..meta_mOTU_v25_12325.	Faecalibacterium.species.incertae.sedis..meta_mOTU_v25_12376.	Faecalibacterium.species.incertae.sedis..meta_mOTU_v25_12403.	Eggerthellaceae.species.incertae.sedis..meta_mOTU_v25_13204.
Suez	603	0.547619047619048	Baseline	ERR2749744	0	4	0	0	1	0	0	0	0	5	2	4	1	0	0	0	0	0
Suez	604	0.760217983651226	Baseline	ERR2749783	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0
Suez	605	0.883333333333333	Baseline	ERR2749816	0	0	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0
Suez	606	0.989071038251366	Baseline	ERR2749856	4	6	0	4	0	0	1	0	3	4	0	0	0	0	0	0	0	0
Suez	704	0.968379446640316	Baseline	ERR2750073	0	1	1	0	0	0	0	2	5	2	1	1	0	1	1	1	1	0
Suez	801	0.619302949061662	Baseline	ERR2750330	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0
Suez	803	0.449035812672176	Baseline	ERR2750396	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1
Suez	804	0.32967032967033	Baseline	ERR2750434	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1
Suez	807	0.638418079096045	Baseline	ERR2750536	0	4	1	2	0	1	0	0	1	2	0	1	4	0	1	2	1	0
Palleja	ERAS11	0.819178082191781	Baseline	ERR1995215	0	2	0	0	0	0	0	3	2	2	0	0	1	0	0	0	0	0
Palleja	ERAS12	0.983957219251337	Baseline	ERR1995220	0	3	0	0	0	1	0	1	2	0	0	0	1	1	0	0	1	0
Palleja	ERAS2	0.868493150684931	Baseline	ERR1995229	0	2	0	5	3	5	0	0	2	0	1	0	0	0	2	0	0	0
Palleja	ERAS3	0.884615384615385	Baseline	ERR1995234	0	6	1	3	3	0	6	1	1	4	8	0	6	0	1	0	0	0
Palleja	ERAS4	0.87335092348285	Baseline	ERR1995239	9	0	1	1	8	0	0	0	1	6	4	2	6	0	1	0	0	0
Palleja	ERAS5	0.891304347826087	Baseline	ERR1995244	0	9	1	0	4	3	0	0	3	0	1	0	0	1	1	0	0	1
Palleja	ERAS6	0.893048128342246	Baseline	ERR1995249	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0
Palleja	ERAS7	0.912328767123288	Baseline	ERR1995254	7	2	0	0	5	1	7	0	1	1	1	5	2	0	0	0	0	0
Palleja	ERAS9	0.813333333333333	Baseline	ERR1995263	0	12	0	0	12	1	3	0	0	1	1	0	3	2	0	0	0	0
