run_accession	ID	Day	MF0001	MF0002	MF0003	MF0004	MF0005	MF0006	MF0007	MF0008	MF0009	MF0010	MF0011	MF0012	MF0013	MF0014	MF0015	MF0016	MF0017	MF0018	MF0019	MF0020	MF0021	MF0022	MF0023	MF0024	MF0025	MF0026	MF0027	MF0028	MF0029	MF0030	MF0031	MF0032	MF0033	MF0034	MF0035	MF0036	MF0037	MF0038	MF0039	MF0040	MF0041	MF0042	MF0043	MF0044	MF0045	MF0046	MF0047	MF0048	MF0049	MF0050	MF0051	MF0052	MF0053	MF0054	MF0055	MF0056	MF0057	MF0058	MF0059	MF0060	MF0061	MF0062	MF0063	MF0064	MF0065	MF0066	MF0067	MF0068	MF0069	MF0070	MF0071	MF0072	MF0073	MF0074	MF0075	MF0076	MF0077	MF0078	MF0079	MF0080	MF0081	MF0082	MF0083	MF0084	MF0085	MF0086	MF0087	MF0088	MF0089	MF0090	MF0091	MF0092	MF0093	MF0094	MF0095	MF0096	MF0097	MF0098	MF0099	MF0100	MF0101	MF0102	MF0103	MF0104	MF0105	MF0106	MF0107	MF0108	MF0109	MF0110	MF0111	MF0112	MF0113	MF0114	MF0115	MF0116	MF0117	MF0118	MF0119	MF0120	MF0121	MF0122	MF0123	MF0124	MF0125	MF0126	MF0127	MF0128	MF0129	MF0130	MF0131	MF0132	MF0133
ERR1995215	ERAS11	0	93	65	99	4	29	10	88	88	46	0	122	47	65	17	6	61	162	6	3	32	32	37	288	42	24	64	118	122	71	264	159	20	94	386	91	61	1	0	82	51	22	5	102	161	16	160	13	587	124	279	150	13	83	97	160	205	156	123	192	204	134	260	322	65	99	399	3	18	19	5	217	51	171	152	0	134	91	134	169	197	173	68	82	29	384	66	67	91	56	154	198	47	69	62	0	0	3	12	2	50	55	157	134	6	0	6	12	161	191	120	72	126	124	21	8	70	118	19	72	4	21	54	19	198	52	22	79	0	12	12	10	56	27
ERR1995218	ERAS11	4	161	123	94	5	10	0	105	105	1	0	110	8	8	0	0	5	188	0	1	4	5	4	221	0	1	14	26	150	120	292	4	1	82	184	72	4	6	0	0	0	0	2	129	26	29	372	21	250	238	1172	328	0	84	9	77	245	194	254	196	191	69	364	382	2	8	407	0	1	1	0	74	75	40	3	0	74	151	74	186	275	246	69	11	3	582	11	12	14	7	184	78	23	50	33	0	0	0	1	1	39	38	217	67	0	0	0	0	242	245	28	0	46	77	0	1	3	3	1	90	0	1	6	14	192	10	2	27	0	0	2	0	131	21
ERR1995220	ERAS12	0	63	34	109	2	24	8	90	90	39	2	112	74	56	10	0	42	142	9	2	36	38	41	291	11	62	29	54	106	46	246	170	26	86	530	131	36	2	0	79	57	36	3	121	113	9	220	5	816	134	323	133	23	52	121	116	262	117	50	234	123	156	293	469	91	90	397	0	6	17	9	214	40	231	257	0	112	93	112	122	170	124	153	28	6	336	94	94	93	48	115	204	111	48	31	0	0	0	19	0	42	47	163	137	11	3	35	8	169	176	115	12	128	186	9	4	72	112	9	40	2	80	27	13	189	101	11	105	1	8	21	6	51	56
ERR1995223	ERAS12	4	195	149	358	25	56	22	96	95	85	1	85	89	13	121	0	93	150	108	3	44	26	53	94	72	24	13	90	206	107	460	150	63	83	357	210	252	63	2	48	516	4	45	274	113	100	418	28	300	88	519	250	0	78	107	373	211	165	174	302	346	54	209	368	54	80	241	0	55	49	69	202	59	144	394	0	332	121	328	202	171	164	82	69	2	714	128	111	76	76	198	180	95	44	7	18	0	0	2	0	40	71	118	85	78	61	108	8	230	166	100	2	167	121	62	90	46	36	107	152	67	105	80	48	255	114	65	89	78	90	36	27	42	65
ERR1995229	ERAS2	0	84	58	86	2	23	11	87	87	37	3	105	72	55	45	0	55	128	18	2	31	31	35	266	21	36	46	90	73	58	248	169	41	80	482	100	9	0	0	86	113	35	14	117	229	10	242	8	795	152	374	158	63	65	130	144	231	130	90	188	184	182	305	529	198	140	471	2	14	20	10	246	43	171	211	0	126	75	126	145	180	164	94	47	29	344	69	72	77	46	134	222	54	61	54	1	0	0	8	0	71	74	203	130	24	2	13	22	125	181	120	27	80	134	18	5	71	123	11	79	4	41	45	30	163	82	20	81	1	38	14	12	40	30
ERR1995232	ERAS2	4	162	124	92	1	4	1	107	107	0	4	151	4	15	0	0	2	143	0	0	7	10	9	221	3	2	23	68	101	110	299	15	0	114	158	79	10	0	0	3	20	0	0	137	40	14	246	20	113	244	484	258	0	116	87	130	63	200	211	228	162	196	276	840	8	2	335	0	0	0	0	98	45	104	4	0	130	148	130	166	257	250	95	13	0	586	19	22	27	0	161	81	33	49	74	0	0	0	1	0	36	45	71	58	5	3	1	0	196	322	81	0	37	84	3	1	0	0	6	2	1	0	14	40	207	5	0	53	0	0	2	1	159	13
ERR1995234	ERAS3	0	106	73	112	2	26	15	91	91	39	0	109	71	51	50	2	90	147	17	2	31	33	36	282	15	49	52	101	96	65	296	173	62	83	481	102	16	2	0	87	75	34	6	115	198	14	245	8	739	161	327	169	70	80	125	171	217	144	85	185	188	110	317	228	78	96	480	2	11	16	11	237	52	161	173	0	138	85	138	151	200	174	96	61	13	442	80	81	89	58	141	222	65	59	60	0	0	0	7	0	68	81	219	127	13	2	11	22	156	182	128	25	104	138	21	13	66	105	8	62	6	44	56	30	162	86	28	92	1	22	16	19	30	33
ERR1995237	ERAS3	4	101	82	59	21	16	2	72	72	16	6	88	74	13	2	1	23	110	2	0	7	16	7	136	6	30	10	24	106	88	186	32	0	74	244	66	17	0	0	8	11	14	1	102	116	5	226	14	204	116	1038	204	1	53	21	88	228	128	140	163	133	17	251	507	6	7	324	0	2	2	1	48	50	36	30	0	33	102	34	154	191	174	72	30	4	336	22	20	23	2	152	36	19	36	16	0	0	0	1	0	25	24	148	55	7	3	2	2	185	139	44	20	12	106	1	5	5	7	5	70	4	6	17	10	148	26	5	33	0	5	7	5	69	16
ERR1995239	ERAS4	0	83	57	78	2	27	7	90	90	20	0	119	69	59	19	4	73	154	10	1	30	34	35	268	14	24	36	74	98	67	244	130	29	91	455	107	14	0	0	62	80	17	6	113	184	11	184	5	762	143	252	142	28	64	74	130	221	130	66	225	159	144	278	342	84	104	417	6	10	15	8	202	40	190	184	0	114	86	114	138	184	152	78	51	14	347	78	83	81	44	126	191	85	58	41	0	0	0	5	0	57	63	165	137	10	1	16	14	152	159	116	22	124	159	14	6	51	96	6	58	4	47	44	20	164	86	21	90	0	17	16	9	53	48
ERR1995242	ERAS4	4	176	142	125	3	15	4	94	94	2	0	121	12	18	2	0	6	216	0	1	4	5	5	190	0	4	28	28	116	119	308	28	4	91	88	72	4	3	0	6	10	2	1	136	55	38	346	31	237	224	298	307	2	93	26	202	120	222	255	249	287	188	368	708	24	24	433	2	2	2	1	146	60	114	20	0	190	170	191	192	297	256	77	11	2	592	18	20	19	17	190	136	29	61	82	0	0	0	1	1	47	59	123	84	2	1	0	3	208	313	40	4	40	97	3	1	4	10	4	23	2	3	10	34	197	13	4	41	0	2	4	1	124	16
