run_accession	ID	Day	Abiotrophia	Absiella	Acetobacter	Acidaminococcus	Acidiphilium	Acinetobacter	Actinobacteria gen. _Trueperella_Streptomyces_	Actinobacteria gen. _Xylanimonas_Schaalia_Sanguibacter_	Actinobaculum	Actinomyces	Adlercreutzia	Aggregatibacter	Akkermansia	Alistipes	Allisonella	Alloprevotella	Anaeroglobus	Anaeromassilibacillus	Anaerosporobacter	Anaerostipes	Anaerotruncus	Angelakisella	Arabia	Atopobiaceae gen. incertae sedis	Atopobium	Azospirillum	Bacillales gen. incertae sedis	Bacteria gen. _Enterococcus_Acinetobacter_	Bacteria gen. _Lelliottia_Pantoea_Enterobacter_Escherichia_Klebsiella_Leclercia_Pedobacter_	Bacteria gen. _Rhodospirillum_Lactobacillus_Azospirillum_	Bacteria gen. _Streptococcus_Enterococcus_Listeria_Sphingobacterium_	Bacteria gen. incertae sedis	Bacteroidales gen. _Coprobacter_Gabonia_	Bacteroidales gen. incertae sedis	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Bittarella	Blautia	Brachyspira	Bulleidia	Burkholderiales gen. incertae sedis	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Candidatus Stoquefichus	Catabacter	Cellulosilyticum	Christensenella	Citrobacter	Cloacibacillus	Clostridia gen. incertae sedis	Clostridiaceae gen. incertae sedis	Clostridiales Family XIII. Incertae Sedis gen. incertae sedis	Clostridiales gen. _Clostridium_Coprococcus_	Clostridiales gen. _Clostridium_Eubacterium_	Clostridiales gen. _Clostridium_Flavonifractor_	Clostridiales gen. _Clostridium_Heliobacterium_	Clostridiales gen. _Ruminococcus_Blautia_	Clostridiales gen. _Ruminococcus_Clostridium_Blautia_	Clostridiales gen. _Ruminococcus_Clostridium_	Clostridiales gen. _Ruminococcus_Eubacterium_	Clostridiales gen. _Sellimonas_Drancourtella_	Clostridiales gen. incertae sedis	Clostridioides	Clostridium	Collinsella	Comamonadaceae gen. incertae sedis	Comamonas	Coprobacillus	Coprobacter	Coprococcus	Coriobacteriaceae gen. incertae sedis	Cronobacter	Cryptobacterium	Culturomica	Dehalococcoidales gen. incertae sedis	Desulfovibrio	Dialister	Dielma	Dorea	Duodenibacillus	Eggerthella	Eggerthellaceae gen. incertae sedis	Eggerthellales gen. incertae sedis	Eggerthia	Eisenbergiella	Enorma	Enterobacter	Enterobacterales gen. _Enterobacter_Escherichia_Klebsiella_Serratia_	Enterobacterales gen. _Klebsiella_Serratia_Shigella_	Enterobacteriaceae gen. _Atlantibacter_Klebsiella_	Enterobacteriaceae gen. _Citrobacter_Enterobacter_Escherichia_Salmonella_	Enterobacteriaceae gen. _Enterobacter_Klebsiella_	Enterobacteriaceae gen. _Kosakonia_Enterobacter_	Enterobacteriaceae gen. _Raoultella_Klebsiella_	Enterococcus	Erysipelatoclostridium	Erysipelotrichaceae gen. incertae sedis	Eubacteriaceae gen. incertae sedis	Eubacterium	Faecalibacterium	Faecalicatena	Faecalitalea	Fenollaria	Firmicutes gen. _Carnobacterium_Phascolarctobacterium_	Firmicutes gen. _Catenibacterium_Roseburia_	Firmicutes gen. _Clostridium_Eubacterium_	Firmicutes gen. _Coprobacillus_Clostridium_	Firmicutes gen. _Erysipelatoclostridium_Clostridioides_	Firmicutes gen. _Lactobacillus_Lachnospira_	Firmicutes gen. incertae sedis	Flavobacteriia gen. incertae sedis	Flavonifractor	Fournierella	Fusicatenibacter	Fusobacteria gen. incertae sedis	Fusobacterium	Gammaproteobacteria gen. _Citrobacter_Vibrio_	Gemella	Gemmiger	Gordonibacter	Granulicatella	Haemophilus	Hafnia	Hafniaceae gen. _Hafnia_Obesumbacterium_	Holdemanella	Holdemania	Hungatella	Intestinibacter	Intestinimonas	Isoptericola	Klebsiella	Kluyvera	Lachnoclostridium	Lachnospira	Lachnospiraceae gen. incertae sedis	Lactobacillales gen. incertae sedis	Lactobacillus	Lactococcus	Lelliottia	Lentisphaerae gen. incertae sedis	Leptotrichia	Leuconostoc	Libanicoccus	Mailhella	Massilimaliae	Massilioclostridium	Massiliomicrobiota	Mediterraneibacter	Megamonas	Megasphaera	Meiothermus	Merdibacter	Merdimonas	Methanobrevibacter	Methanosphaera	Mitsuokella	Mogibacterium	Mollicutes gen. incertae sedis	Morganella	Muribaculaceae gen. incertae sedis	Mycoplasma	Negativibacillus	Neisseria	Niameybacter	Odoribacter	Olsenella	Oscillibacter	Oxalobacter	Paeniclostridium	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Pasteurellaceae gen. incertae sedis	Pediococcus	Peptostreptococcaceae gen. incertae sedis	Peptostreptococcus	Phascolarctobacterium	Phocea	Phoenicibacter	Porphyromonadaceae gen. _Sanguibacteroides_Gabonibacter_	Porphyromonas	Prevotella	Propionibacterium	Proteobacteria gen. _Komagataeibacter_Escherichia_Klebsiella_Shigella_	Proteobacteria gen. _Paraburkholderia_Pseudomonas_	Proteobacteria gen. incertae sedis	Proteus	Provencibacterium	Providencia	Pseudoflavonifractor	Pseudomonas	Pseudoramibacter	Rikenellaceae gen. _Tidjanibacter_Alistipes_	Robinsoniella	Romboutsia	Roseburia	Rothia	Ruminococcaceae gen. incertae sedis	Ruminococcus	Ruthenibacterium	Salmonella	Scardovia	Selenomonadales gen. incertae sedis	Senegalimassilia	Slackia	Solobacterium	Staphylococcus	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Tenericutes gen. incertae sedis	Terrisporobacter	Turicibacter	Tyzzerella	Veillonella	Verrucomicrobia gen. incertae sedis	Weissella
ERR1995211	ERAS10	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	13	 3	 2	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	22	 0	 2	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 7	 0	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 6	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 6	 0	 0	 6	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	81	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 4	 0	 7	 6	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 1	 0	 0
ERR1995212	ERAS10	180	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	10	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	74	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	12	 0	 7	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 5	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 4	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	21	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	12	 0	 4	 9	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 0
ERR1995213	ERAS10	42	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	10	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	81	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 4	 0	13	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	10	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	27	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 5	 0	 0	14	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 5	 0	 3	 0	 1	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 6	 0	 0	 0	 0	 0	 0	 0
ERR1995214	ERAS10	8	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	79	 0	 0	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	19	 0	 0	 0	10	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	60	 0	 0
ERR1995215	ERAS11	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 5	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	43	 0	24	 1	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	16	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 5	 0	 0	 0	 0	 0	 0	 0	 0	 0	 7	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 9	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 9	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 4	 0	17	15	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ERR1995216	ERAS11	180	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 3	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	12	 1	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	36	 0	20	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 6	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	14	 0	 0	 0	 0	 0	 0	 0	 0	 0	25	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	12	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 2	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 3	 0	12	21	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0
ERR1995217	ERAS11	42	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 2	27	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	50	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 6	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 3	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	14	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	37	12	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 4	 0
ERR1995218	ERAS11	4	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	 71	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	110	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  4	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
ERR1995219	ERAS11	8	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	13	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 0	17	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 6	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	18	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	23	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	27	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	67	 0	 0
ERR1995220	ERAS12	0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  4	  0	  1	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  4	  0	  1	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  0	 17	  0	  3	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	 11	  5	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  4	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	107	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  6	  0	  2	  5	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0	  0	  0	  0	  1	  0	  0
