Sample	Individual	Day	Abiotrophia	Acetobacter	Acidaminococcus	Acinetobacter	Actinobacteria gen. _Trueperella_Streptomyces_	Actinobacteria gen. _Xylanimonas_Schaalia_Sanguibacter_	Actinobaculum	Actinomyces	Adlercreutzia	Akkermansia	Alistipes	Allisonella	Anaerococcus	Anaeroglobus	Anaeromassilibacillus	Anaerostipes	Anaerotruncus	Angelakisella	Arabia	Atopobiaceae gen. incertae sedis	Atopobium	Azospirillum	Bacteria gen. _Enterococcus_Acinetobacter_	Bacteria gen. _Lelliottia_Pantoea_Enterobacter_Escherichia_Klebsiella_Leclercia_Pedobacter_	Bacteria gen. _Micrococcus_Streptococcus_Bacillus_Jeotgalibacillus_	Bacteria gen. _Rhodospirillum_Lactobacillus_Azospirillum_	Bacteria gen. _Streptococcus_Enterococcus_Listeria_Sphingobacterium_	Bacteria gen. incertae sedis	Bacteroidaceae gen. incertae sedis	Bacteroidales gen. _Coprobacter_Gabonia_	Bacteroidales gen. incertae sedis	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Bittarella	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Candidatus Stoquefichus	Carnobacterium	Catabacter	Catonella	Christensenella	Citrobacter	Clostridia gen. incertae sedis	Clostridiaceae gen. incertae sedis	Clostridiales Family XIII. Incertae Sedis gen. incertae sedis	Clostridiales gen. _Clostridium_Coprococcus_	Clostridiales gen. _Clostridium_Eubacterium_	Clostridiales gen. _Clostridium_Flavonifractor_	Clostridiales gen. _Ruminococcus_Blautia_	Clostridiales gen. _Ruminococcus_Clostridium_Blautia_	Clostridiales gen. _Ruminococcus_Clostridium_	Clostridiales gen. _Ruminococcus_Eubacterium_	Clostridiales gen. _Sellimonas_Drancourtella_	Clostridiales gen. incertae sedis	Clostridioides	Clostridium	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Coriobacteriaceae gen. incertae sedis	Corynebacterium	Cryptobacterium	Cutibacterium	Dehalococcoidales gen. incertae sedis	Desulfovibrio	Dialister	Dielma	Dorea	Eggerthella	Eggerthellaceae gen. incertae sedis	Eggerthia	Eisenbergiella	Emergencia	Enorma	Enterobacterales gen. _Enterobacter_Escherichia_Klebsiella_Serratia_	Enterobacteriaceae gen. _Citrobacter_Enterobacter_Escherichia_Salmonella_	Enterococcus	Enterorhabdus	Erwiniaceae gen. incertae sedis	Erysipelatoclostridium	Eubacteriaceae gen. incertae sedis	Eubacterium	Faecalibacterium	Faecalicatena	Faecalicoccus	Faecalitalea	Fenollaria	Firmicutes gen. _Carnobacterium_Phascolarctobacterium_	Firmicutes gen. _Catenibacterium_Roseburia_	Firmicutes gen. _Clostridium_Eubacterium_	Firmicutes gen. _Coprobacillus_Clostridium_	Firmicutes gen. _Erysipelatoclostridium_Clostridioides_	Firmicutes gen. _Lactobacillus_Lachnospira_	Firmicutes gen. incertae sedis	Flavobacteriaceae gen. incertae sedis	Flavobacteriia gen. incertae sedis	Flavonifractor	Fournierella	Fusicatenibacter	Fusobacterium	Gammaproteobacteria gen. _Citrobacter_Vibrio_	Gammaproteobacteria gen. _Testudinibacter_Pseudomonas_	Gardnerella	Gemella	Gemmiger	Gordonibacter	Granulicatella	Haemophilus	Hafnia	Hafniaceae gen. _Hafnia_Obesumbacterium_	Holdemanella	Holdemania	Hungatella	Intestinibacter	Intestinimonas	Isoptericola	Klebsiella	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lachnospiraceae gen. incertae sedis	Lactobacillales gen. incertae sedis	Lactobacillus	Lactococcus	Lactonifactor	Lelliottia	Lentisphaerae gen. incertae sedis	Leuconostoc	Mailhella	Massilioclostridium	Massiliomicrobiota	Mediterraneibacter	Megasphaera	Merdibacter	Merdimonas	Methanobrevibacter	Mogibacterium	Muribaculaceae gen. incertae sedis	Neisseria	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Pantoea	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Pasteurellaceae gen. incertae sedis	Pediococcus	Peptoniphilus	Peptostreptococcaceae gen. incertae sedis	Peptostreptococcus	Phascolarctobacterium	Phocea	Porphyromonas	Prevotella	Prevotellaceae gen. incertae sedis	Prevotellamassilia	Propionibacterium	Proteobacteria gen. _Komagataeibacter_Escherichia_Klebsiella_Shigella_	Proteobacteria gen. incertae sedis	Provencibacterium	Pseudoflavonifractor	Pseudomonas	Pseudopropionibacterium	Pyramidobacter	Rikenellaceae gen. _Tidjanibacter_Alistipes_	Romboutsia	Roseburia	Rothia	Ruminococcaceae gen. incertae sedis	Ruminococcus	Ruthenibacterium	Scardovia	Selenomonadales gen. incertae sedis	Senegalimassilia	Serratia	Solobacterium	Staphylococcaceae gen. _Staphylococcus_Gemella_	Staphylococcus	Stomatobaculum	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Sutterellaceae gen. incertae sedis	Tetragenococcus	Tissierellia gen. incertae sedis	Traorella	Tropheryma	Turicibacter	Tyzzerella	Urmitella	Varibaculum	Variovorax	Veillonella	Veillonellaceae gen. incertae sedis	Weissella
halbarad_2	halbarad	2	  0	  1	  0	  0	  0	  1	  0	  0	  6	188	395	  0	  0	  0	  5	 14	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	156	  0	  5	275	 10	 72	  8	  1	 39	 10	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	 31	  0	  1	  1	  6	  4	  0	  2	  0	  0	436	  0	 18	  6	  1	  0	  9	  0	  0	  2	  0	  0	  1	  5	  0	 12	  0	  0	  0	  4	  0	 12	  0	  0	  0	  0	  0	  1	  0	 21	258	  1	  0	  0	  0	 14	  0	  0	  0	  0	  0	  7	  0	  6	 14	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  1	  1	  1	  0	  0	  0	  1	  1	 32	  0	  0	  0	  0	  0	  3	  0	  8	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  8	  6	  0	 61	  0	 21	  2	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  4	  0	  0	  0	  1	  0	  0	  9	  0	  0	  1	  0	  1	 33	  0	256	254	  4	  0	  0	  0	  0	  0	  0	  0	  0	 17	  0	  0	  9	  0	  0	  0	  0	  1	  0	 24	  0	  0	  0	  0	  0	  0
daisy_7	daisy	7	   0	   0	  21	   0	   0	   1	   0	   1	   0	   0	   7	   0	   0	   0	   0	 104	   0	   1	   0	   0	   1	   0	   0	   0	   0	  82	   0	  61	   0	   0	  50	1247	   0	  12	   5	   0	  93	   7	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   4	   0	   0	   0	   0	  91	   0	 172	   3	   1	   0	   7	   0	   0	   0	   0	   0	   0	   0	   0	  27	   1	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   1	   0	 190	  76	   0	   0	   0	   0	   0	   0	   0	  21	   0	  90	 100	   0	   0	   4	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   1	   0	  92	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   4	   0	   0	   6	   0	  76	   0	  14	   0	   0	   0	   0	   0	   0	  30	   1	   0	   5	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	  11	   0	  63	   0	  12	  12	   1	   0	   1	   0	   0	   0	   0	   0	   0	  11	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   3	   0	   0
tigress_7	tigress	7	  0	  0	  0	 11	  0	  0	  0	  1	  0	  0	143	  0	  0	  0	  0	 46	  2	  0	  0	  0	  0	  0	  0	  0	  0	  6	  0	 12	  0	  0	  6	590	  0	 24	  2	  0	 36	  4	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	 47	  2	  3	  0	  0	  0	  0	347	  0	133	  0	  0	  0	 18	  0	  0	  0	  0	  0	  0	  0	  0	 25	  0	  4	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	328	406	  0	  0	  0	  0	 36	  0	  0	  8	  0	  0	  8	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  5	  0	  0	  0	  2	  0	  0	  0	  0	  0	  0	  1	  0	 83	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  6	  0	  0	  8	  0	 20	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	103	  1	 97	205	  1	  0	  0	  0	  0	  1	  0	  0	  0	 11	  0	  0	  8	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0
alien_630	alien	630	  0	  0	  0	  0	  0	  1	  0	  0	  4	  6	  0	  0	  0	  0	  2	 19	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	 14	252	  0	  6	  0	  1	 89	 10	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	105	  0	  1	  0	  0	  0	  0	270	  0	197	 34	  0	  0	 62	  0	  0	  0	  0	  0	  6	110	  1	 26	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	 72	418	  1	  0	  0	  0	  0	  0	  1	 13	  0	 19	 16	  0	  0	 30	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	 13	  0	209	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  8	  0	125	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	 12	  0	  0	  0	 11	  0	  0	  0	  0	  0	  0	 13	  2	255	  0	 64	143	  2	  0	  1	  0	  0	  0	  0	  0	  0	  7	  0	  0	 68	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
alien_60	alien	60	  0	  0	  0	  0	  0	  0	  0	  0	  9	  0	 12	  0	  0	  0	  0	 17	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	 18	  1	  0	  0	291	  6	 28	  0	  0	132	 29	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0	  8	  0	  0	  1	  0	171	  0	 90	 31	  0	  1	 47	  0	  0	  2	  1	  0	  0	  0	  0	 41	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	 75	459	  0	  0	  0	  0	 17	  0	  0	 13	  0	 29	 10	  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0	484	  1	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0	  0	 42	  0	 20	  0	  7	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	 10	370	  0	100	164	  1	  0	  0	  0	  0	  1	  0	  0	  0	  4	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  1	  0	  1
alien_376	alien	376	   2	   0	   0	   0	   0	   0	   0	   2	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   1	   0	   1	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	1801	   0	   2	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   3	 486	 287	   0	   0	   0	   8	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	  29	   0	   0	   0	   0	   0	   0	   2	   1	   0	   0	   0	   0	   0	   0	  14	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   2	   1	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	 266	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0
alien_2	alien	2	  0	  0	  0	  0	  0	  0	  0	  1	  1	  0	 42	  0	  0	  0	  1	 14	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	 14	  5	  0	  0	575	  5	  0	  0	  0	122	 18	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	 31	  0	  2	  0	  0	  0	  1	161	  0	 94	 27	  0	  2	 62	  0	  0	  0	  0	  0	  0	  0	  0	 38	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	 90	277	  0	  0	  0	  0	 42	  0	  0	  7	  0	 34	  8	  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	522	  1	  1	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  6	  0	  0	 54	  0	 18	  0	 10	  0	  0	  0	  0	  0	  0	  0	  1	  0	  1	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  2	232	  0	 70	147	  0	  0	  0	  0	  0	  0	  0	  0	  0	  8	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0
peacemaker_392	peacemaker	392	   0	   0	   0	   0	   0	   0	   0	   0	   2	   1	  43	   0	   0	   0	   0	  18	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	  35	   0	   0	   0	1312	  11	  17	   4	   0	  16	   9	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   1	   0	 206	   0	  60	   3	   0	   3	  19	   0	   0	   0	   0	   0	   0	  38	   0	  24	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2	   0	 186	 155	  10	   0	   0	   0	   0	   0	   0	   0	   0	 225	   1	   0	   0	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   2	   0	   0	   0	   2	   0	   1	   1	   0	   0	   0	   0	   0	  80	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   8	   0	  19	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   3	 197	   0	  63	  49	   1	   0	   0	   0	   0	   0	   0	   0	   0	   2	   0	   0	   7	   0	   0	   0	   0	   0	   2	   0	   0	   0	   0	   2	   0	   0
tigress_60	tigress	60	  0	  0	  0	 20	  0	  0	  0	  0	  0	  0	124	  0	  0	  0	  0	 89	  1	  0	  0	  0	  1	  0	  0	  0	  0	 60	  0	 12	  0	  2	  9	614	  0	  3	  1	  0	 52	  5	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  1	  0	328	  0	138	  0	  0	  0	 10	  0	  0	  0	  0	  0	  0	  0	  0	 15	  1	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	680	216	  1	  0	  0	  0	 40	  0	  0	  8	  0	  0	 10	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	  2	  0	  0	  0	  0	  0	  0	  4	  0	 54	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  9	  0	  0	  9	  0	  7	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	 58	  0	 52	196	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  4	  0	  0
bugkiller_600	bugkiller	600	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	  10	   0	   0	   0	   0	   0	   1	   0	   0	   0	   1	   0	  60	   1	   0	   6	 277	   0	   7	   1	   0	  47	   3	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	  14	   0	   0	   1	   0	  72	   0	  30	   7	   0	   0	   6	   0	   0	   0	   0	   1	   0	   1	   0	  15	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	 272	 186	   0	   0	   0	   0	  22	   0	   0	   0	   0	   1	   4	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2	  13	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   5	   0	   0	   2	   0	   6	   0	   0	   0	   0	   0	   0	   0	   0	  29	   0	   0	1719	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   1	   5	   0	  16	   2	   0	   0	   0	   1	   0	   0	   0	   0	   0	   4	   0	   0	  14	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   7	   0	   0
